BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Co-op for sale;4650000;3;3.0;2184.207862;150 Central Park S;New York, NY 10019;150 Central Park SNew York, NY 10019;United States;New York;New York County;New York;Central Park South;150 Central Park S, New York, NY 10019, USA;40.7661258;-73.9779145
Brokered by COMPASS;Condo for sale;425000;1;1.0;603.0;640 Ditmas Ave Apt 29;Brooklyn, NY 11218;640 Ditmas Ave Apt 29Brooklyn, NY 11218;New York;Kings County;Brooklyn;Kensington;640;640 Ditmas Ave APT 29, Brooklyn, NY 11218, USA;40.6360061;-73.971649
Brokered by R New York;Contingent;375000;1;1.0;900.0;10 Bay Street Lndg Apt 1G;Staten Island, NY 10301;10 Bay Street Lndg Apt 1GStaten Island, NY 10301;New York;Richmond County;Staten Island;Mid Island;10;10 Bay Street Landing #1b, Staten Island, NY 10301, USA;40.638118;-74.073964
Brokered by Corcoran Brooklyn Heights;Multi-family home for sale;6999000;6;3.0;2184.207862;108 Willow St;Brooklyn, NY 11201;108 Willow StBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Willow Street;108 Willow St, Brooklyn, NY 11201, USA;40.697795;-73.995861
Brokered by LoHo Realty Inc;Co-op for sale;1398000;4;2.0;2184.207862;530 Grand St Unit D4C4;New York City, NY 10002;530 Grand St Unit D4C4New York City, NY 10002;United States;New York;New York County;New York;Grand Street;530 Grand St, New York, NY 10002, USA;40.7147871;-73.9809765
Brokered by Peace Of Mind Realty;House for sale;750000;3;2.0;1868.0;857 E 37th St;East Flatbush, NY 11203;857 E 37th StEast Flatbush, NY 11203;United States;New York;Kings County;Brooklyn;East 37th Street;857 E 37th St, Brooklyn, NY 11210, USA;40.6359284;-73.9409763
Brokered by Highline Residential - Highline Residential;Co-op for sale;629000;1;1.0;2184.207862;600 W 111th St Unit 2B;New York, NY 10025;600 W 111th St Unit 2BNew York, NY 10025;New York County;New York;Manhattan;West 111th Street;Five Guys;Five Guys, 600 W 111th St #2b, New York, NY 10025, USA;40.8048821;-73.966726
Brokered by Century 21 Realty First;House for sale;1150000;3;2.0;1280.0;327 Avenue P;Brooklyn, NY 11204;327 Avenue PBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;Avenue L;327 Avenue L, Brooklyn, NY 11230, USA;40.6193771;-73.9717704
Brokered by Douglas Elliman - 575 Madison Ave;House for sale;12500000;4;6.0;7500.0;64 E 7th St;New York, NY 10003;64 E 7th StNew York, NY 10003;United States;New York;New York County;New York;East 7th Street;64 E 7th St, New York, NY 10003, USA;40.7273703;-73.9870777
Brokered by Century 21 Zaloom Realty;House for sale;699900;3;2.0;1420.0;22 Oakville St;Staten Island, NY 10314;22 Oakville StStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Oakville Street;22 Oakville St, Staten Island, NY 10314, USA;40.5986989;-74.1318297
Brokered by Keller Williams Rlty Landmark;Pending;1098888;2;3.0;2184.207862;34 Center Dr;Malba, NY 11357;34 Center DrMalba, NY 11357;United States;New York;Queens County;Queens;Center Drive;34 Center Dr, Flushing, NY 11357, USA;40.7899772;-73.828053
Brokered by Realty Connect Usa L I Inc;Co-op for sale;519000;2;2.0;1079.0;110-35 72 Rd Unit 108;Forest Hills, NY 11375;110-35 72 Rd Unit 108Forest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;11035;11035 72nd Rd Apt 108, Forest Hills, NY 11375, USA;40.7203199;-73.84052
Brokered by REO First Choice Realty LLC.;Pending;1200000;3;2.3738608579684373;3280.0;1176 Bushwick Ave;Brooklyn, NY 11221;1176 Bushwick AveBrooklyn, NY 11221;United States;New York;Kings County;Brooklyn;Bushwick Avenue;1176 Bushwick Ave, Brooklyn, NY 11221, USA;40.688515;-73.916949
Brokered by E Z Sell Realty;Co-op for sale;279000;1;1.0;2184.207862;61-20 Grand Central Pkwy Unit C500;Forest Hills, NY 11375;61-20 Grand Central Pkwy Unit C500Forest Hills, NY 11375;United States;New York;Queens County;Queens;Grand Central Parkway;61-20 Grand Central Pkwy, Forest Hills, NY 11375, USA;40.7379227;-73.8470718
Brokered by Telemundo Realty Corp;Multi-family home for sale;1325000;6;4.0;2184.207862;29-11 Butler St;East Elmhurst, NY 11369;29-11 Butler StEast Elmhurst, NY 11369;United States;New York;Queens County;Queens;Butler Street;29-11 Butler St, Flushing, NY 11369, USA;40.7635384;-73.8628798
Brokered by Weichert Realtors Evolution Group;House for sale;635000;4;2.0;1684.0;57 Peacock Loop;Staten Island, NY 10309;57 Peacock LoopStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Peacock Loop;57 Peacock Loop, Staten Island, NY 10309, USA;40.5307866;-74.2217959
Brokered by Tom Crimmins Realty, Ltd.;Contingent;499000;3;2.0;1450.0;173 Wright St;Staten Island, NY 10304;173 Wright StStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Wright Street;173 Wright St, Staten Island, NY 10304, USA;40.629123;-74.0811056
Brokered by CENTURY 21 MK Realty;Multi-family home for sale;1100000;7;2.3738608579684373;1040.0;118 Miller Ave;Brooklyn, NY 11207;118 Miller AveBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Miller Avenue;118 Miller Ave, Brooklyn, NY 11207, USA;40.6784973;-73.892987
Brokered by Crossings Realty;Co-op for sale;199000;1;1.0;600.0;83-52 Talbot St Unit 2G;Kew Gardens, NY 11415;83-52 Talbot St Unit 2GKew Gardens, NY 11415;New York;Queens County;Queens;Jamaica;83-52;83-52 Talbot St #2g, Jamaica, NY 11415, USA;40.7085553;-73.8279947
Brokered by COMPASS;Co-op for sale;550000;2;2.0;1012.0;333 E 119th St Apt 6C;Manhattan, NY 10035;333 E 119th St Apt 6CManhattan, NY 10035;New York;New York County;New York;Manhattan;333;333 E 119th St #6c, New York, NY 10035, USA;40.7986288;-73.9351095
Brokered by Charles Rutenberg Realty Inc;Co-op for sale;518000;3;2.0;2184.207862;3304 Junction Blvd Apt 4S;Jackson Heights, NY 11372;3304 Junction Blvd Apt 4SJackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;3304;3304 Junction Blvd #4d, Jackson Heights, NY 11372, USA;40.7568027;-73.8736566
Brokered by Serhant;Townhouse for sale;26000000;8;6.0;10940.0;23 E 67th St;New York, NY 10065;23 E 67th StNew York, NY 10065;United States;New York;New York County;New York;East 67th Street;23 E 67th St, New York, NY 10065, USA;40.7688699;-73.9678746
Brokered by Brown Harris Stevens;Condo for sale;1250000;2;2.0;1057.0;575 4th Ave Apt 10D;Brooklyn, NY 11215;575 4th Ave Apt 10DBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;4th Avenue;575 4th Ave, Brooklyn, NY 11215, USA;40.6655513;-73.9922171
Brokered by Douglas Elliman - 575 Madison Ave;Townhouse for sale;8750000;3;4.0;4275.0;133 E 91st St;New York, NY 10128;133 E 91st StNew York, NY 10128;United States;New York;New York County;New York;East 91st Street;133 E 91st St, New York, NY 10128, USA;40.7829849;-73.9535589
Brokered by Serhant;Condo for sale;1465000;2;1.0;1107.0;61 N Henry St Fl 4;Brooklyn, NY 11222;61 N Henry St Fl 4Brooklyn, NY 11222;New York;Kings County;Brooklyn;Greenpoint;61;61 N Henry St Fl 4, Brooklyn, NY 11222, USA;40.7213959;-73.9430921
Brokered by Voro Llc;Co-op for sale;278000;1;1.0;2184.207862;39-82 65th Pl Unit 4F;Woodside, NY 11377;39-82 65th Pl Unit 4FWoodside, NY 11377;New York;Queens County;Queens;Flushing;39-82;39-82 65th Pl #4f, Queens, NY 11377, USA;40.7439196;-73.8992843
Brokered by COMPASS;Co-op for sale;469000;2;1.0;2184.207862;21-41 34th Ave Unit 5D;Astoria, NY 11106;21-41 34th Ave Unit 5DAstoria, NY 11106;New York;Queens County;Queens;Astoria;21-41;21-41 34th Ave #5d, Astoria, NY 11106, USA;40.7623991;-73.9321744
Brokered by Weichert Realtors TMT Group;Co-op for sale;225000;1;1.0;2184.207862;35-41 205 St Unit 291;Bayside, NY 11361;35-41 205 St Unit 291Bayside, NY 11361;New York;Queens County;Queens;Bayside;3541;3541 205th St # 291, Bayside, NY 11361, USA;40.7667099;-73.78272
Brokered by RE MAX Distinguished Homes & Properties;Multi-family home for sale;1100000;4;3.0;3664.0;1893 Longfellow Ave;Bronx, NY 10460;1893 Longfellow AveBronx, NY 10460;United States;New York;Bronx County;The Bronx;Longfellow Avenue;1893 Longfellow Ave, Bronx, NY 10460, USA;40.8389133;-73.8826337
Brokered by E Realty International Corp;Multi-family home for sale;1960000;8;7.0;2184.207862;71-60 163rd St;Fresh Meadows, NY 11365;71-60 163rd StFresh Meadows, NY 11365;United States;New York;Queens County;Queens;163rd Street;71-60 163rd St, Flushing, NY 11365, USA;40.7286837;-73.8065818
Brokered by Compass Greater Ny, Llc;Pending;799000;4;2.0;1560.0;62 Daleham St;Brooklyn, NY 10308;62 Daleham StBrooklyn, NY 10308;United States;New York;Richmond County;Staten Island;Daleham Street;62 Daleham St, Staten Island, NY 10308, USA;40.5642806;-74.1530498
Brokered by Coldwell Banker American Homes;Multi-family home for sale;949000;5;3.0;2184.207862;4551 Kings Hwy;Brooklyn, NY 11234;4551 Kings HwyBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Kings Highway;4551 Kings Hwy, Brooklyn, NY 11234, USA;40.6290233;-73.9330774
Brokered by Integrity Core Realty;Multi-family home for sale;799000;4;2.0;1716.0;3032 Brighton 1st St;Brooklyn, NY 11235;3032 Brighton 1st StBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Brighton 1st Street;3032 Brighton 1st St, Brooklyn, NY 11235, USA;40.5778456;-73.9670934
Brokered by Doreen Greenwood Inc.;House for sale;699000;3;3.0;1280.0;20 Keen Ct;Brooklyn, NY 11229;20 Keen CtBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;Keen Court;20 Keen Ct, Brooklyn, NY 11229, USA;40.5877725;-73.9253044
Brokered by Robert DeFalco Realty, Inc.;House for sale;900000;3;2.0;1248.0;917 Hylan Blvd;Staten Island, NY 10305;917 Hylan BlvdStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Hylan Boulevard;917 Hylan Blvd, Staten Island, NY 10305, USA;40.5981713;-74.0732699
Brokered by RE MAX Distinguished Homes & Properties;Multi-family home for sale;1100000;4;3.0;3664.0;1893 Longfellow Ave;Bronx, NY 10460;1893 Longfellow AveBronx, NY 10460;United States;New York;Bronx County;The Bronx;Longfellow Avenue;1893 Longfellow Ave, Bronx, NY 10460, USA;40.8389133;-73.8826337
Brokered by EXP Realty;Multi-family home for sale;1235000;8;5.0;2538.0;235-18 147 Rd;Rosedale, NY 11422;235-18 147 RdRosedale, NY 11422;United States;New York;Queens County;Queens;147th Road;235-18 147th Rd, Jamaica, NY 11422, USA;40.6565969;-73.745832
Brokered by Brown Harris Stevens;Co-op for sale;3295000;2;2.0;2184.207862;11 E 92nd St Apt 1;Manhattan, NY 10128;11 E 92nd St Apt 1Manhattan, NY 10128;New York;New York County;New York;Manhattan;11;11 E 92nd St Apt 1f, New York, NY 10128, USA;40.7852991;-73.9571579
Brokered by Elegran Real Estate And Development;Co-op for sale;595000;2;1.0;2184.207862;328 W 96th St Apt 5C;New York, NY 10025;328 W 96th St Apt 5CNew York, NY 10025;New York;New York County;New York;Manhattan;328;328 W 96th St #5c, New York, NY 10025, USA;40.7955171;-73.9745834
Brokered by Chous Realty Group Inc;Condo for sale;269000;3;1.0;485.0;2900 Ocean Ave Apt 5N;Brooklyn, NY 11235;2900 Ocean Ave Apt 5NBrooklyn, NY 11235;New York;Kings County;Brooklyn;Sheepshead Bay;2900;2900 Ocean Ave #5n, Brooklyn, NY 11235, USA;40.590145;-73.9499887
Brokered by Ashford Homes;Townhouse for sale;548000;2;2.0;1354.0;17 Bianca Ct;Staten Island, NY 10312;17 Bianca CtStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Bianca Court;17 Bianca Ct, Staten Island, NY 10312, USA;40.5646084;-74.184535
Brokered by Corcoran East Side;Co-op for sale;6995000;4;4.0;2184.207862;1050 Fifth Ave Apt 17D;New York, NY 10028;1050 Fifth Ave Apt 17DNew York, NY 10028;New York;New York County;New York;Manhattan;1050;1050 5th Ave #17d, New York, NY 10028, USA;40.7816743;-73.9600313
Brokered by COMPASS;Co-op for sale;1150000;2;1.0;900.0;114 Garfield Pl Apt 1R;Brooklyn, NY 11215;114 Garfield Pl Apt 1RBrooklyn, NY 11215;New York;Kings County;Brooklyn;Park Slope;114;114 Garfield Pl #1r, Brooklyn, NY 11215, USA;40.6737554;-73.9803629
Brokered by William Raveis New York City;Contingent;595000;1;1.0;2184.207862;10 Park Ave Unit 11K;New York, NY 10016;10 Park Ave Unit 11KNew York, NY 10016;New York;New York County;New York;Manhattan;10;10 Park Ave #11c, New York, NY 10016, USA;40.7473555;-73.9813841
Brokered by RE MAX Edge;Condo for sale;799000;5;2.0;1500.0;1025 45th St Unit 4;Brooklyn, NY 11219;1025 45th St Unit 4Brooklyn, NY 11219;New York;Kings County;Brooklyn;Borough Park;1025;1025 45th St APT 4D, Brooklyn, NY 11219, USA;40.6409434;-73.9953527
Brokered by COMPASS;Condo for sale;2110000;2;2.0;1326.0;327 E 22nd St Unit 6A;Manhattan, NY 10010;327 E 22nd St Unit 6AManhattan, NY 10010;New York;New York County;New York;Manhattan;327;327 E 22nd St #6, New York, NY 10010, USA;40.7367893;-73.9799267
Brokered by Brown Harris Stevens;Townhouse for sale;4200000;5;4.0;4480.0;164 W 88th St Unit Townhouse;Manhattan, NY 10024;164 W 88th St Unit TownhouseManhattan, NY 10024;United States;New York;New York County;New York;West 88th Street;164 W 88th St, New York, NY 10024, USA;40.788437;-73.9731887
Brokered by Keller Williams Legendary;Multi-family home for sale;450000;4;2.0;2184.207862;93-04 177th St;Jamaica, NY 11433;93-04 177th StJamaica, NY 11433;United States;New York;Queens County;Queens;177th Street;93-04 177th St, Jamaica, NY 11433, USA;40.7065602;-73.7835572
Brokered by AMERIHOMES REALTY OF NY, INC.;Co-op for sale;385000;1;1.0;779.0;1625 Emmons Ave Apt 4Y;Brooklyn, NY 11235;1625 Emmons Ave Apt 4YBrooklyn, NY 11235;New York;Kings County;Brooklyn;Sheepshead Bay;1625;1625 Emmons Ave Apt 4b, Brooklyn, NY 11235, USA;40.5834583;-73.9522667
Brokered by Real Broker NY LLC;House for sale;649999;4;1.0;2184.207862;118-10 202nd St;Saint Albans, NY 11412;118-10 202nd StSaint Albans, NY 11412;United States;New York;Queens County;Queens;202nd Street;118-10 202nd St, Jamaica, NY 11412, USA;40.6936825;-73.7495584
Brokered by Myrta55 Real Estate - Myrta 55 Real Estate;Condo for sale;539000;2;1.0;708.0;307 72nd St Apt 4B;Brooklyn, NY 11209;307 72nd St Apt 4BBrooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;307;307 72nd St #4b, Brooklyn, NY 11209, USA;40.633546;-74.0266446
Brokered by COMPASS;Pending;550000;3;2.0;1292.0;21 Locust Ct;Staten Island, NY 10309;21 Locust CtStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Locust Court;21 Locust Ct, Staten Island, NY 10309, USA;40.5482041;-74.2109853
Brokered by RE MAX Real Estate Professionals;House for sale;1525000;3;2.0;1650.0;1139 72nd St;Brooklyn, NY 11228;1139 72nd StBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;72nd Street;1139 72nd St, Brooklyn, NY 11228, USA;40.6242186;-74.0088847
Brokered by RE MAX Real Estate Professionals;Multi-family home for sale;2100000;6;2.0;2720.0;1068 51st St;Brooklyn, NY 11219;1068 51st StBrooklyn, NY 11219;United States;New York;Kings County;Brooklyn;51st Street;1068 51st St, Brooklyn, NY 11219, USA;40.6366874;-73.9984062
Brokered by BESMATCH REAL ESTATE;House for sale;625000;3;2.0;1944.0;2249 Seward Ave;Bronx, NY 10473;2249 Seward AveBronx, NY 10473;United States;New York;Bronx County;The Bronx;Seward Avenue;2249 Seward Ave, Bronx, NY 10473, USA;40.8216537;-73.8465699
Brokered by Chase Global Realty Corp;House for sale;728888;4;3.0;1379.0;135-16 221st St;Springfield Gardens, NY 11413;135-16 221st StSpringfield Gardens, NY 11413;United States;New York;Queens County;Queens;221st Street;135-16 221st St, Jamaica, NY 11413, USA;40.6767141;-73.7492797
Brokered by One Manhattan real estate - Upper East Side office;Co-op for sale;739000;2;1.0;2184.207862;529 E 84th St Apt 2B;New York, NY 10028;529 E 84th St Apt 2BNew York, NY 10028;New York;New York County;New York;Manhattan;529;529 E 84th St #2b, New York, NY 10028, USA;40.7741621;-73.9467221
Brokered by East Coast REALTORS Inc;Multi-family home for sale;1290000;3;2.0;2184.207862;45-01 Utopia Pkwy;Flushing, NY 11358;45-01 Utopia PkwyFlushing, NY 11358;United States;New York;Queens County;Queens;Utopia Parkway;45-01 Utopia Pkwy, Flushing, NY 11358, USA;40.7554032;-73.7924388
Brokered by Exp Realty;Multi-family home for sale;675000;3;2.0;1750.0;756 Calhoun Ave;Bronx, NY 10465;756 Calhoun AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Calhoun Avenue;756 Calhoun Ave, Bronx, NY 10465, USA;40.8266591;-73.824848
Brokered by Sari Kingsley, Real Estate;Contingent;950000;3;2.0;1364.0;221 Edinboro Rd;Staten Island, NY 10306;221 Edinboro RdStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Edinboro Road;221 Edinboro Rd, Staten Island, NY 10306, USA;40.5781512;-74.1348919
Brokered by Infinity LUXXE Estates LLC;House for sale;550000;3;2.0;1221.0;10229 Davenport Ct;Howard Beach, NY 11414;10229 Davenport CtHoward Beach, NY 11414;United States;New York;Queens County;Queens;Davenport Court;10229 Davenport Ct, Jamaica, NY 11414, USA;40.653784;-73.8286059
Brokered by Serhant LLC;House for sale;1099999;3;1.0;1100.0;19-36 75th St;East Elmhurst, NY 11370;19-36 75th StEast Elmhurst, NY 11370;United States;New York;Queens County;Queens;75th Street;19-36 75th St, Flushing, NY 11370, USA;40.7709973;-73.8950248
Brokered by REALHome Services & Solutions;Multi-family home for sale;906300;8;4.0;3116.0;1017 Dumont Ave;Brooklyn, NY 11208;1017 Dumont AveBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Dumont Avenue;1017 Dumont Ave, Brooklyn, NY 11208, USA;40.668499;-73.8810259
Brokered by Corcoran Chelsea/Flatiron;Co-op for sale;5900000;3;4.0;3000.0;410 W 24th St # 18BCE;New York, NY 10011;410 W 24th St # 18BCENew York, NY 10011;New York;New York County;New York;Manhattan;410;410 W 24th St #18b, New York, NY 10011, USA;40.7472085;-74.0013378
Brokered by COMPASS;Condo for sale;2700000;3;3.0;1689.0;555 W 59th St Apt 19B;Manhattan, NY 10019;555 W 59th St Apt 19BManhattan, NY 10019;New York;New York County;New York;Manhattan;555;555 W 59th St #19b, New York, NY 10019, USA;40.7715251;-73.9895943
Brokered by Realty Executives Today;House for sale;659000;4;2.0;2184.207862;130-35 145th St;Jamaica, NY 11436;130-35 145th StJamaica, NY 11436;United States;New York;Queens County;Queens;145th Street;130-35 145th St, Jamaica, NY 11436, USA;40.6695117;-73.7942558
Brokered by Modern Spaces, LLC;Condo for sale;898000;1;2.0;1340.0;215 Cornelia St Unit 1A;Brooklyn, NY 11221;215 Cornelia St Unit 1ABrooklyn, NY 11221;New York;Kings County;Brooklyn;Bushwick;215;215 Cornelia St #1a, Brooklyn, NY 11221, USA;40.6928399;-73.9131908
Brokered by COMPASS;Co-op for sale;189990;1;1.0;2184.207862;151-31 88th St Unit 2F;Howard Beach, NY 11414;151-31 88th St Unit 2FHoward Beach, NY 11414;New York;Queens County;Queens;Jamaica;151-31;151-31 88th St #2f, Jamaica, NY 11414, USA;40.6668092;-73.8471901
Brokered by Rock Realty Inc;Multi-family home for sale;2150000;6;2.0;2184.207862;12-11 Jackson Ave;Long Island City, NY 11101;12-11 Jackson AveLong Island City, NY 11101;United States;New York;Queens County;Queens;Jackson Avenue;12-11 Jackson Ave, Long Island City, NY 11101, USA;40.7438369;-73.9505652
Brokered by COMPASS;Co-op for sale;550000;3;1.0;2184.207862;24 5th Ave Apt 510;Manhattan, NY 10011;24 5th Ave Apt 510Manhattan, NY 10011;New York;New York County;New York;Manhattan;24;24 5th Ave Apt 510, New York, NY 10011, USA;40.7330596;-73.9959886
Brokered by Douglas Elliman  -111 Fifth Ave;Co-op for sale;2100000;3;3.0;1968.0;285 Riverside Dr Apt 11G;New York, NY 10025;285 Riverside Dr Apt 11GNew York, NY 10025;New York;New York County;New York;Manhattan;285;285 Riverside Dr #11g, New York, NY 10025, USA;40.7989206;-73.9723967
Brokered by Douglas Elliman - Syosset;Pending;1088888;3;4.0;2550.0;163-36 98th St;Howard Beach, NY 11414;163-36 98th StHoward Beach, NY 11414;United States;New York;Queens County;Queens;98th Street;163-36 98th St, Howard Beach, NY 11414, USA;40.6520565;-73.8335563
Brokered by Real Estate Authorities Inc;House for sale;499000;5;2.0;1236.0;3636 Barnes Ave;Bronx, NY 10467;3636 Barnes AveBronx, NY 10467;United States;New York;Bronx County;The Bronx;Barnes Avenue;3636 Barnes Ave, Bronx, NY 10467, USA;40.879318;-73.8613522
Brokered by Corcoran West Side Gallery;Co-op for sale;1795000;4;3.0;2184.207862;622 W 114th St Apt 53;New York, NY 10025;622 W 114th St Apt 53New York, NY 10025;New York;New York County;New York;Manhattan;622;622 W 114th St #53, New York, NY 10025, USA;40.80699;-73.966129
Brokered by Broadway Realty;Condo for sale;2300000;2;2.0;1163.0;515 E 72nd St Apt 29D;New York, NY 10021;515 E 72nd St Apt 29DNew York, NY 10021;New York;New York County;New York;Manhattan;515;515 E 72nd St #29d, New York, NY 10021, USA;40.7666839;-73.9527719
Brokered by KELLER WILLIAMS REALTY LANDMARK II;Pending;749000;3;3.0;1368.0;90-47 176th St;Jamaica, NY 11432;90-47 176th StJamaica, NY 11432;United States;New York;Queens County;Queens;176th Street;9047 176th St, Jamaica, NY 11432, USA;40.7088867;-73.7844919
Brokered by Island Advantage Realty Llc;Condo for sale;594900;2;1.0;729.0;306 Lincoln Rd Apt 2L;Brooklyn, NY 11225;306 Lincoln Rd Apt 2LBrooklyn, NY 11225;New York;Kings County;Brooklyn;Prospect Lefferts Gardens;306;306 Lincoln Rd #2l, Brooklyn, NY 11225, USA;40.6612226;-73.9525371
Brokered by COMPASS;Townhouse for sale;1399000;4;2.0;1700.0;1746 Bergen St;Brooklyn, NY 11233;1746 Bergen StBrooklyn, NY 11233;United States;New York;Kings County;Brooklyn;Bergen Street;1746 Bergen St, Brooklyn, NY 11233, USA;40.6745279;-73.9243055
Brokered by CENTURY 21 Homefront;Condo for sale;639000;2;2.0;800.0;144-49 Barclay Ave Unit 7B;Queens, NY 11355;144-49 Barclay Ave Unit 7BQueens, NY 11355;New York;Queens County;Queens;Flushing;14449;14449 Barclay Ave APT 7A, Flushing, NY 11355, USA;40.7603904;-73.8194905
Brokered by Brick & Mortar Llc;Multi-family home for sale;1995000;9;3.0;3600.0;673 Knickerbocker Ave Unit Bldg;Brooklyn, NY 11221;673 Knickerbocker Ave Unit BldgBrooklyn, NY 11221;United States;New York;Kings County;Brooklyn;Knickerbocker Avenue;673 Knickerbocker Ave, Brooklyn, NY 11221, USA;40.6950726;-73.9113766
Brokered by Classic Service Realty Inc;Multi-family home for sale;1250000;5;2.0;2376.0;2337 Foster Ave;Ditmas Park, NY 11226;2337 Foster AveDitmas Park, NY 11226;United States;New York;Kings County;Brooklyn;Foster Avenue;2337 Foster Ave, Brooklyn, NY 11210, USA;40.6383413;-73.9547608
Brokered by Ivey North;Contingent;275000;3;1.0;363.0;88 Brooklyn Ave Apt A6;Brooklyn, NY 11216;88 Brooklyn Ave Apt A6Brooklyn, NY 11216;New York;Kings County;Brooklyn;Crown Heights;88;88 Brooklyn Ave Apt A6, Brooklyn, NY 11216, USA;40.6770084;-73.9444319
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage;Co-op for sale;3495000;3;3.0;2184.207862;129 E 69th St Apt 7B;New York, NY 10021;129 E 69th St Apt 7BNew York, NY 10021;New York;New York County;New York;Manhattan;129;129 E 69th St #7b, New York, NY 10021, USA;40.7687653;-73.9638365
Brokered by Modern Spaces Love Your Place;Pending;325000;2;1.0;2184.207862;36 Hamilton Ave Apt 6K;Staten Island, NY 10301;36 Hamilton Ave Apt 6KStaten Island, NY 10301;New York;Richmond County;Staten Island;Mid Island;36;36 Hamilton Ave #6b, Staten Island, NY 10301, USA;40.6449121;-74.0787385
Brokered by Elegran Real Estate And Development;Co-op for sale;500000;3;2.0;2184.207862;142 Joralemon St Ste 14D;Brooklyn, NY 11201;142 Joralemon St Ste 14DBrooklyn, NY 11201;New York;Kings County;Brooklyn;Brooklyn Heights;142;142 Joralemon St #14b, Brooklyn, NY 11201, USA;40.6927721;-73.9936086
Brokered by Century 21 Bay Benjamin;Condo for sale;349000;3;1.0;500.0;2 Bay Club Dr Apt 15Z4;Bayside, NY 11360;2 Bay Club Dr Apt 15Z4Bayside, NY 11360;New York;Queens County;Queens;Bayside;2;2 Bay Club Dr Apartment 15z4, Bayside, NY 11360, USA;40.778411;-73.781048
Brokered by Douglas Elliman - 575 Madison Ave;Multi-family home for sale;3195000;4;4.0;3612.0;26 4th Pl;Brooklyn, NY 11231;26 4th PlBrooklyn, NY 11231;United States;New York;Kings County;Brooklyn;4th Place;26 4th Pl, Brooklyn, NY 11231, USA;40.6784683;-74.0011264
Brokered by Nest Seekers International, Midtown;Townhouse for sale;24950000;7;5.0;12000.0;6 E 69th St;New York, NY 10021;6 E 69th StNew York, NY 10021;United States;New York;New York County;New York;East 69th Street;6 E 69th St, New York, NY 10065, USA;40.7700688;-73.9679334
Brokered by Listed New York Elite Inc;House for sale;709999;4;2.0;2184.207862;116-40 148th St;Jamaica, NY 11436;116-40 148th StJamaica, NY 11436;United States;New York;Queens County;Queens;148th Street;116-40 148th St, Jamaica, NY 11436, USA;40.6811881;-73.793438
Brokered by JM Properties;House for sale;774900;3;2.0;1335.0;226 Fingerboard Rd;Staten Island, NY 10305;226 Fingerboard RdStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Fingerboard Road;226 Fingerboard Rd, Staten Island, NY 10305, USA;40.6058796;-74.0681791
Brokered by Hometime Estates LLC;Multi-family home for sale;988000;3;2.0;3061.0;251 Kelly Blvd;Staten Island, NY 10314;251 Kelly BlvdStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Kelly Boulevard;251 Kelly Blvd, Staten Island, NY 10314, USA;40.5838227;-74.1568196
Brokered by NY Empire Real Estate;Co-op for sale;275000;1;1.0;2184.207862;98-20 62 Dr Unit 15F;Rego Park, NY 11374;98-20 62 Dr Unit 15FRego Park, NY 11374;New York;Queens County;Queens;Rego Park;9820;9820 62nd Dr Apt 15h, Rego Park, NY 11374, USA;40.7334099;-73.85851
Brokered by Winzone Realty Inc;Co-op for sale;219000;1;1.0;2184.207862;68-05 138 St Unit 3B;Kew Gardens Hills, NY 11367;68-05 138 St Unit 3BKew Gardens Hills, NY 11367;New York;Queens County;Queens;Flushing;68-5;68-5 138th St #3b, Flushing, NY 11367, USA;40.7315119;-73.8286528
Brokered by Brown Harris Stevens;Co-op for sale;439000;1;1.0;2184.207862;212 E 84th St Apt 2C;Manhattan, NY 10028;212 E 84th St Apt 2CManhattan, NY 10028;New York;New York County;New York;Manhattan;212;212 E 84th St #2c, New York, NY 10028, USA;40.7770851;-73.9541834
