# Метеостанция Тобольск, Россия, WMO_ID=28275, выборка с 06.09.2009 по 06.09.2010, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=28275&lang=ru
#
"Местное время в Тобольске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.03.2010 02:00";"-14.2";"751.4";"756.1";"";"60";"Ветер, дующий с северо-запада";"3";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-20.3";"";"";"";"";"";"";
"26.03.2010 23:00";"-11.4";"750.9";"755.5";"";"50";"Ветер, дующий с северо-запада";"5";"";"13";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-4.2";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-19.8";"1.0";"12";"";"";"";"";
"26.03.2010 20:00";"-8.8";"750.2";"754.8";"";"50";"Ветер, дующий с северо-запада";"6";"";"13";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-4.2";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-17.4";"1.0";"12";"Cухая";"";"";"";
"26.03.2010 17:00";"-5.7";"749.7";"754.2";"";"47";"Ветер, дующий с северо-востока";"7";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-15.3";"";"";"";"";"";"";
"26.03.2010 14:00";"-5.0";"749.4";"753.9";"";"57";"Ветер, дующий с северо-востока";"6";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-12.3";"";"";"";"";"";"";
"26.03.2010 11:00";"-4.3";"749.0";"753.5";"";"81";"Ветер, дующий с северо-востока";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-7.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-7.0";"0.2";"12";"";"";"";"";
"26.03.2010 08:00";"-6.9";"749.0";"753.5";"";"91";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-8.1";"0.2";"12";"Cухая";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"43.0";
"26.03.2010 05:00";"-6.8";"749.6";"754.0";"";"94";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-7.6";"";"";"";"";"";"";
"26.03.2010 02:00";"-6.0";"750.9";"755.4";"";"81";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"20.0";"-8.7";"";"";"";"";"";"";
"25.03.2010 23:00";"-3.5";"752.0";"756.5";"";"69";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"1.0";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перисто-слоистые, покрывающие все небо.";"20.0";"-8.3";"Следы осадков";"12";"";"";"";"";
"25.03.2010 20:00";"-2.1";"752.5";"756.9";"";"60";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"1.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-8.8";"Следы осадков";"12";"Cухая";"";"";"";
"25.03.2010 17:00";"0.4";"752.7";"757.0";"";"54";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-7.9";"";"";"";"";"";"";
"25.03.2010 14:00";"0.6";"752.8";"757.1";"";"54";"Ветер, дующий с юго-запада";"5";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-7.6";"";"";"";"";"";"";
"25.03.2010 11:00";"-1.4";"753.8";"758.3";"";"60";"Ветер, дующий с юго-запада";"4";"";"";"50%.";" ";"";"";"-6.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"";"";"20.0";"-8.1";"";"";"";"";"";"";
"25.03.2010 08:00";"-5.5";"753.4";"758.0";"";"67";"Ветер, дующий с юго-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-10.6";"";"";"Cухая";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"43.0";
"25.03.2010 05:00";"-5.5";"752.7";"757.2";"";"67";"Ветер, дующий с юго-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-10.6";"";"";"";"";"";"";
"25.03.2010 02:00";"-8.0";"751.7";"756.3";"";"";"Ветер, дующий с юго-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"24.03.2010 23:00";"-3.6";"750.5";"755.0";"";"71";"Ветер, дующий с юго-запада";"5";"";"";"Облаков нет.";" ";"";"";"";"1.1";"";"";"";"";"";"20.0";"-8.0";"Следы осадков";"12";"";"";"";"";
"24.03.2010 20:00";"-1.7";"749.4";"753.8";"";"43";"Ветер, дующий с юго-запада";"4";"";"";"20–30%.";" ";"";"";"";"1.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"";"20.0";"-12.6";"Следы осадков";"12";"Cухая";"";"";"";
"24.03.2010 17:00";"0.1";"748.7";"753.2";"";"42";"Ветер, дующий с юго-юго-запада";"5";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"";"";"20.0";"-11.4";"";"";"";"";"";"";
"24.03.2010 14:00";"0.9";"748.1";"752.6";"";"42";"Ветер, дующий с юго-юго-запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"";"";"20.0";"-10.6";"";"";"";"";"";"";
"24.03.2010 11:00";"0.0";"747.3";"751.7";"";"53";"Ветер, дующий с юго-запада";"3";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-1.2";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"-8.5";"0.5";"12";"";"";"";"";
"24.03.2010 08:00";"-1.2";"745.9";"750.2";"";"74";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"4.0";"-5.2";"0.5";"12";"Cухая";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"43.0";
"24.03.2010 05:00";"1.9";"744.2";"748.5";"";"80";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-1.2";"";"";"";"";"";"";
"24.03.2010 02:00";"2.5";"743.9";"748.2";"";"82";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-0.2";"";"";"";"";"";"";
"23.03.2010 23:00";"2.6";"744.0";"748.3";"";"88";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Буря";"";"1.3";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"0.8";"Следы осадков";"12";"";"";"";"";
"23.03.2010 20:00";"1.3";"743.8";"748.1";"";"94";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Буря";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"1.3";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"0.5";"Следы осадков";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"23.03.2010 17:00";"-1.6";"745.4";"749.7";"";"88";"Ветер, дующий с юго-востока";"5";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-3.3";"";"";"";"";"";"";
"23.03.2010 14:00";"-4.3";"747.4";"751.9";"";"87";"Ветер, дующий с юго-востока";"6";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-6.2";"";"";"";"";"";"";
"23.03.2010 11:00";"-7.0";"749.6";"754.0";"";"88";"Ветер, дующий с юго-востока";"6";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-9.0";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-8.7";"";"";"";"";"";"";
"23.03.2010 08:00";"-8.3";"751.9";"756.4";"";"86";"Ветер, дующий с юга";"5";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-10.2";"";"";"Cухая";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"23.03.2010 05:00";"-8.7";"753.9";"758.6";"";"79";"Ветер, дующий с юга";"6";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-11.6";"";"";"";"";"";"";
"23.03.2010 02:00";"-9.0";"756.2";"760.9";"";"70";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-13.4";"";"";"";"";"";"";
"22.03.2010 23:00";"-8.0";"757.6";"762.3";"";"64";"Ветер, дующий с юга";"6";"";"14";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Метель";"";"-4.5";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-13.6";"";"";"";"";"";"";
"22.03.2010 20:00";"-7.3";"759.1";"763.6";"";"49";"Ветер, дующий с юга";"5";"";"14";"20–30%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Метель";"";"-4.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"";"20.0";"-16.1";"";"";"Cухая";"";"";"";
"22.03.2010 17:00";"-4.5";"760.0";"764.6";"";"58";"Ветер, дующий с юго-юго-запада";"8";"12";"14";"20–30%.";"Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). ";"Метель";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-11.6";"";"";"";"";"";"";
"22.03.2010 14:00";"-4.9";"761.0";"765.5";"";"54";"Ветер, дующий с юго-востока";"6";"12";"13";"20–30%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-12.7";"";"";"";"";"";"";
"22.03.2010 11:00";"-9.3";"762.3";"767.0";"";"70";"Ветер, дующий с юго-востока";"4";"";"";"40%.";" ";"";"";"-21.9";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-13.8";"";"";"";"";"";"";
"22.03.2010 08:00";"-20.1";"763.3";"768.2";"";"85";"Ветер, дующий с востоко-юго-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-22.0";"";"";"Cухая";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"22.03.2010 05:00";"-21.0";"763.8";"768.7";"";"85";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-22.8";"";"";"";"";"";"";
"22.03.2010 02:00";"-18.3";"764.1";"769.0";"";"85";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-20.2";"";"";"";"";"";"";
"21.03.2010 23:00";"-16.7";"763.9";"768.7";"";"80";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-3.3";"";"";"";"";"";"20.0";"-19.3";"";"";"";"";"";"";
"21.03.2010 20:00";"-9.2";"763.7";"768.4";"";"51";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"-3.3";"";"";"";"";"";"20.0";"-17.4";"";"";"Cухая";"";"";"";
"21.03.2010 17:00";"-3.9";"763.6";"768.2";"";"46";"Ветер, дующий с востоко-юго-востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"";"";"20.0";"-13.8";"";"";"";"";"";"";
"21.03.2010 14:00";"-6.7";"763.6";"768.2";"";"62";"Ветер, дующий с юго-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"";"";"20.0";"-12.8";"";"";"";"";"";"";
"21.03.2010 11:00";"-12.7";"763.6";"768.4";"";"80";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Туман или ледяной туман или сильная мгла.";"-16.0";"";"";"";"";"";"";"20.0";"-15.4";"Следы осадков";"12";"";"";"";"";
"21.03.2010 08:00";"-15.5";"762.8";"767.6";"";"90";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Ливень (ливни).";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"";"";"";"0.5";"-16.8";"Следы осадков";"12";"Cухая";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"48.0";
"21.03.2010 05:00";"-16.0";"762.0";"766.8";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-17.3";"";"";"";"";"";"";
"21.03.2010 02:00";"-12.6";"761.4";"766.0";"";"85";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-14.6";"";"";"";"";"";"";
"20.03.2010 23:00";"-10.1";"760.4";"765.0";"";"75";"Ветер, дующий с запада";"2";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-4.3";"";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"-13.7";"Следы осадков";"12";"";"";"";"";
"20.03.2010 20:00";"-7.4";"758.5";"763.0";"";"85";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-4.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-9.5";"Следы осадков";"12";"Cухая";"";"";"";
"20.03.2010 17:00";"-5.4";"757.8";"762.4";"";"65";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-10.9";"";"";"";"";"";"";
"20.03.2010 14:00";"-5.0";"756.7";"761.2";"";"57";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-12.3";"";"";"";"";"";"";
"20.03.2010 11:00";"-8.1";"756.2";"760.8";"";"75";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-16.5";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-11.7";"Следы осадков";"12";"";"";"";"";
"20.03.2010 08:00";"-15.5";"756.0";"760.7";"";"85";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-17.4";"Следы осадков";"12";"Cухая";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"49.0";
"20.03.2010 05:00";"-15.9";"755.6";"760.4";"";"80";"Ветер, дующий с юго-юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"";"20.0";"-18.6";"";"";"";"";"";"";
"20.03.2010 02:00";"-13.0";"756.0";"760.7";"";"75";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"";"";"20.0";"-16.5";"";"";"";"";"";"";
"19.03.2010 23:00";"-15.9";"756.7";"761.4";"";"80";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"-4.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"";"20.0";"-18.6";"";"";"";"";"";"";
